"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
1.2759,1.8552,-0.021298,0.5886,0.30682,-0.23599,-0.82235
-1.3024,-0.38222,-0.23884,1.4501,-2.8328,-1.2163,-2.0187
-1.5906,-1.1991,0.19624,1.2267,-0.76621,-0.75743,-1.0051
-0.9981,-1.4832,1.719,-0.11335,-0.28931,-0.089993,0.17465
-0.18139,-1.057,0.41378,-0.84721,-0.52776,0.4523,0.55683
-0.021248,-0.38222,-1.3265,-0.75149,-0.40853,0.41058,0.34082
-0.0052336,-0.20464,-0.45638,-0.91102,-0.011117,0.4523,0.29097
-0.0052336,-0.20464,-0.45638,-0.91102,-0.32905,1.0154,0.60668
-0.0052336,-0.16913,-0.45638,-0.59195,-0.13034,1.9123,0.93902
-0.0052336,-0.0981,-0.23884,-0.24098,-0.011117,1.6412,0.68977
0.65134,0.43462,-0.021298,-0.17716,1.0619,0.55658,0.723
0.39512,0.25705,0.63132,0.78005,1.4196,-2.3426,-0.55648
2.2527,1.6066,0.19624,0.52479,2.4131,-1.8629,0.1248
1.3239,1.8907,0.19624,0.046187,-0.24957,0.43144,-0.34047
-1.7668,-0.027071,0.63132,1.4182,-2.952,-0.61143,-2.0354
-0.98209,-0.38222,1.0664,1.8968,-0.44827,-0.73657,-0.8722
-0.9981,-1.128,0.41378,0.5886,-0.050858,-0.56971,-0.30723
-0.74188,-1.3766,-0.021298,-0.27288,-0.40853,-0.54885,-0.024751
-0.16537,-0.59531,1.0664,-0.081441,-0.28931,-0.23599,0.24112
-0.021248,-0.27567,-1.109,-0.97483,-0.13034,0.056009,0.37405
-0.0052336,-0.31119,-1.5441,-1.2301,-0.17008,0.51487,0.70638
-0.0052336,-0.20464,-0.45638,-0.94293,-0.24957,0.80687,0.83932
-0.0052336,-0.0981,-1.109,-0.94293,-0.0906,1.224,0.83932
0.69938,0.43462,-0.23884,-0.56004,1.6183,1.8706,0.95563
0.65134,0.47014,0.63132,0.14191,1.658,-0.40285,-0.32385
2.1246,1.3935,-0.021298,0.11,1.1414,-0.966,0.37405
1.0837,1.6066,-0.45638,0.33335,-0.40853,0.035151,-0.40693
-1.7508,0.1505,0.63132,1.131,-1.8392,-0.75743,-2.2514
-0.72586,0.0084441,0.63132,1.5139,-0.32905,-0.88257,-0.88882
-0.26146,0.25705,-0.23884,1.2906,-0.011117,-0.966,-0.32385
-0.10132,0.36359,0.41378,0.68432,-0.32905,-0.79914,-0.074601
0.074836,-0.3467,0.41378,0.74814,-0.28931,-0.46542,-0.074601
-0.06929,-0.59531,-0.23884,0.42907,-0.13034,-0.25685,-0.19092
-0.22943,-0.0981,1.0664,0.046187,0.26707,-0.089993,0.14142
-0.66181,-0.70185,0.41378,-0.78339,0.30682,0.014294,-0.024751
-0.66181,-1.128,-0.45638,-1.0067,-0.20982,0.014294,-0.074601
0.058822,-0.55979,0.63132,-0.43242,0.46578,0.014294,0.45713
0.47519,-0.16913,0.84886,-0.46432,1.1016,-0.069136,0.73962
